x	y
11	5.20943
11	6.11887
11	6.04803
11	7.34539
11	4.52119
11	6.27666
11	6.99082
12	7.02174
12	6.48138
12	5.56861
12	6.73089
12	6.34693
12	6.65905
12	8.40655
12	5.16917
12	6.01098
12	5.70053
12	7.25398
12	6.92011
12	6.44127
12	5.96121
12	7.38901
12	6.39008
12	6.98142
12	5.8086
12	6.31628
12	2.85967
12	6.39185
12	6.78455
12	4.54266
12	7.70259
12	5.79791
12	6.85599
12	6.22429
12	6.06747
12	6.93185
12	7.29416
12	5.77
12	5.26219
12	6.79779
12	8.25236
12	6.09019
12	5.874
12	6.88444
12	4.63981
12	6.52041
12	5.55736
12	7.66567
12	5.13047
12	4.41215
12	7.44714
12	6.11162
12	5.8308
12	6.20719
12	4.95287
12	7.42648
12	6.68527
13	6.89456
13	6.58005
13	6.60261
13	6.88541
13	7.42715
13	5.84163
13	6.88613
13	6.55576
13	5.7791
13	6.08664
13	7.10377
13	7.06493
13	5.94913
13	5.12261
13	5.43509
13	5.54614
13	6.66192
13	5.2518
13	4.23187
13	5.57589
13	6.44118
13	7.34914
13	6.63587
13	6.33461
13	5.38317
13	5.87199
13	6.53019
13	6.80086
13	7.00373
13	6.50674
13	4.73897
13	7.22294
13	4.57474
13	6.5698
13	5.48518
13	6.74876
13	6.21199
13	8.33086
13	8.56031
13	6.97496
13	5.38582
13	6.71989
13	5.88864
13	6.6957
13	6.42172
13	6.33493
13	5.13631
13	5.80795
13	6.78871
13	6.5532
14	5.98028
14	4.98728
14	5.81555
14	7.25668
14	6.31482
14	7.27886
14	6.96082
14	6.38238
14	5.52459
14	4.77221
14	5.57001
14	5.3835
14	6.82114
14	6.55268
14	7.14543
14	5.99821
14	6.46534
14	6.62492
14	6.5556
14	9.07318
14	6.16232
14	7.57442
14	6.15864
14	5.4199
14	6.09304
14	6.93632
14	6.59452
14	6.46742
14	7.93569
14	5.0842
14	6.16549
14	6.10158
14	5.55602
14	6.42129
14	5.23301
14	5.98082
14	7.34973
14	5.10587
14	8.91705
14	5.95543
14	6.14512
14	6.08833
14	8.14851
14	5.67035
14	5.47303
14	6.08701
14	6.06204
14	6.33482
14	5.85052
14	5.80759
15	6.67073
15	6.18705
15	5.32668
15	5.23382
15	6.39036
15	8.64854
15	5.5532
15	6.5071
15	6.61872
15	6.60736
15	6.27424
15	5.32847
15	6.66641
15	6.28508
15	5.53135
15	8.06783
15	7.26755
15	6.82431
15	5.78976
15	7.23283
15	4.21786
15	7.57959
15	6.44774
15	7.10981
15	6.30023
15	6.88824
15	5.8857
15	7.5935
15	4.47653
15	5.09432
15	6.82137
15	3.83398
15	6.89122
15	5.89501
15	5.01123
15	6.80352
15	6.88828
15	7.22179
15	7.35076
15	4.7392
15	5.88896
15	6.34201
15	5.87316
15	6.78622
15	7.54249
15	8.25631
15	7.60572
15	6.88093
15	7.64814
15	6.77844
16	9.02248
16	7.15066
16	8.62845
16	5.20792
16	9.19126
16	8.11544
16	5.10395
16	5.42127
16	8.41004
16	6.25008
16	7.62129
16	6.05382
16	7.55906
16	7.23456
16	7.63596
16	6.54865
16	8.13668
16	6.61631
16	5.36703
16	7.7707
16	5.22133
16	8.62281
16	5.24581
16	6.96688
16	7.19939
16	6.6763
16	6.63473
16	5.62939
16	6.50035
16	5.68455
16	7.07157
16	6.0076
16	6.7971
16	7.21047
16	7.51484
16	6.10332
16	5.32273
16	6.3061
16	6.90383
16	8.12525
16	4.37184
16	5.40937
16	5.06911
16	4.97913
16	7.39955
16	6.00489
16	6.57343
16	5.19259
16	5.26492
16	5.60977
17	7.49487
17	7.02636
17	4.69598
17	6.54933
17	6.11515
17	7.44576
17	6.08023
17	5.88552
17	7.6066
17	6.46071
17	5.498
17	6.21538
17	6.65682
17	6.03334
17	8.27473
17	7.41568
17	6.27493
17	6.92079
17	5.61395
17	6.19125
17	6.53328
17	7.17952
17	8.40532
17	7.38796
17	8.06371
17	6.06481
17	8.1493
17	7.67931
17	8.02335
17	6.58223
17	6.97065
17	7.34841
17	7.32245
17	6.42014
17	5.96303
17	7.81084
17	6.88007
17	6.16309
17	6.75009
17	4.94747
17	6.23689
17	6.07377
17	5.88814
17	5.96083
17	7.61131
17	5.6711
17	7.73587
17	6.42658
17	7.09281
17	7.23347
18	6.30508
18	6.99693
18	6.82054
18	6.12334
18	7.12489
18	7.9504
18	8.4474
18	7.17822
18	7.85185
18	8.12991
18	6.23284
18	8.73536
18	6.69384
18	6.04844
18	7.24292
18	6.81555
18	5.55586
18	6.15012
18	7.28467
18	8.48438
18	5.96936
18	6.3238
18	7.23327
18	6.36867
18	6.08979
18	6.69403
18	7.2748
18	7.59323
18	7.88359
18	7.41405
18	5.42585
18	6.69307
18	7.33559
18	6.24519
18	7.38762
18	4.64027
18	7.03667
18	6.27766
18	6.16239
18	6.33596
18	7.31716
18	7.46389
18	7.95956
18	6.34018
18	5.32004
18	6.68956
18	5.98517
18	7.50499
18	6.94733
18	8.0694
19	8.6795
19	8.49179
19	6.72422
19	7.3177
19	6.62166
19	7.64044
19	6.9592
19	7.11589
19	5.12979
19	6.74544
19	5.26781
19	7.92072
19	6.30919
19	7.11471
19	7.11197
19	7.54637
19	7.41183
19	7.67923
19	8.04438
19	5.72779
19	6.92723
19	8.39479
19	8.21043
19	6.24315
19	7.23325
19	8.49072
19	5.32704
19	7.88691
19	6.97875
19	6.65246
19	5.62974
19	7.01269
19	8.09977
19	8.66308
19	7.35077
19	7.79672
19	7.00439
19	7.50471
19	6.14473
19	5.76347
19	8.70504
19	7.31516
19	7.50888
19	6.92628
19	7.17519
19	6.49607
19	7.9662
19	5.85872
19	6.58484
19	7.61141
