Bird Type  Vent  O2  CO2
167     1   427  17  4.5
168     1    70  17  4.5
169     1   171  17  6.0
170     1   347  17  6.0
171     1   118  17  6.0
172     1     5  17  6.0
173     1   152  17  6.0
174     1   387  17  6.0
175     1   213  17  9.0
176     1   244  17  9.0
177     1   272  17  9.0
178     1   599  17  9.0
179     1   -81  17  9.0
180     1    78  17  9.0
181     1  -119  15  0.0
182     1     0  15  0.0
183     1     0  15  0.0
184     1  -112  15  0.0
185     1  -102  15  0.0
186     1   151  15  0.0
187     1   414  15  3.0
188     1   -42  15  3.0
189     1   114  15  3.0
190     1    58  15  3.0
191     1   200  15  3.0
192     1   419  15  3.0
193     1   215  15  4.5
194     1    44  15  4.5
195     1   101  15  4.5
196     1   -45  15  4.5
197     1   315  15  4.5
198     1    -1  15  4.5
199     1   195  15  6.0
200     1   -35  15  6.0
201     1   187  15  6.0
202     1   344  15  6.0
203     1   446  15  6.0
204     1   265  15  6.0
205     1   485  15  9.0
206     1   242  15  9.0
207     1   477  15  9.0
208     1   -15  15  9.0
209     1   492  15  9.0
210     1   113  15  9.0
211     1    41  13  0.0
212     1   144  13  0.0
213     1  -168  13  0.0
214     1    95  13  0.0
215     1   -11  13  0.0
216     1    -1  13  0.0
217     1    49  13  3.0
218     1    99  13  3.0
219     1   118  13  3.0
220     1    46  13  3.0
221     1   117  13  3.0
222     1    33  13  3.0
223     1  -173  13  4.5
224     1   -15  13  4.5
225     1   244  13  4.5
226     1   120  13  4.5
227     1   430  13  4.5
228     1   377  13  4.5
229     1   572  13  6.0
230     1    60  13  6.0
231     1   176  13  6.0
232     1   102  13  6.0
233     1    64  13  6.0
234     1   468  13  6.0
235     1   381  13  9.0
236     1   674  13  9.0
237     1   544  13  9.0
238     1    33  13  9.0
239     1   535  13  9.0
240     1   535  13  9.0
